player_id,player_name
alex-botha,Alex Botha
alex-howes,Alex Howes
alex-mccowen,Alex McCowen
alex-wright,Alex Wright
bart-timmer,Bart Timmer
ben-pellington,Ben Pellington
billy-bennett,Billy Bennett
blake-longden,Blake Longden
bradley-truelove,Bradley Truelove
callum-read,Callum Read
callum-woodcock,Callum Woodcock
calum-brown,Calum Brown
cam-thorpe,Cam Thorpe
catlin-cope,Catlin Cope
charlie-marshall,Charlie Marshall
chris-ward,Chris Ward
connor-bowler,Connor Bowler
curtis-thorpe,Curtis Thorpe
dale-dennett,Dale Dennett
dan-burton,Dan Burton
dan-harrison,Dan Harrison
dan-rushton,Dan Rushton
daniel-fingram,Daniel Fingram
deck-ingber,Deck Ingber
dereece-ohara,Dereece O'Hara
dom-tofts,Dom Tofts
eddie-castaldo,Eddie Castaldo
fillip-brom,Fillip Brom
finley-nottingham,Finley Nottingham
finley-sanderson,Finley Sanderson
harvey-thompson,Harvey Thompson
hedley-paul-keegan,Hedley-Paul Keegan
henry-wheeler,Henry Wheeler
hugo-nilsson,Hugo Nilsson
huxley-largan,Huxley Largan
jack-briggs,Jack Briggs
jack-clucas,Jack Clucas
jack-whiteley,Jack Whiteley
james-buckby,James Buckby
jamesey-ennis,Jamesey Ennis
jamie-flint,Jamie Flint
jessie-sale,Jessie Sale
joe-ellett,Joe Ellett
joe-evans,Joe Evans
joe-harrington,Joe Harrington
jono-downing,Jono Downing
josh-longden,Josh Longden
kelham-elliot,Kelham Elliot
kieran-fitzgibbon,Kieran Fitzgibbon
laura-bugge,Laura Bugge
lewis-ruston,Lewis Ruston
louis-bell,Louis Bell
luke-gribbin,Luke Gribbin
luke-hider,Luke Hider
luke-mccormack,Luke McCormack
matt-davies,Matt Davies
morgan-shillito,Morgan Shillito
nathan-hemmingway,Nathan Hemmingway
nathan-stewart,Nathan Stewart
neiran-donnelley,Neiran Donnelley
oli-bartlett,Oli Bartlett
oli-gubbins,Oli Gubbins
oliver-burgess,Oliver Burgess
oliver-wilson,Oliver Wilson
olly-doherty,Olly Doherty
reuben-evans,Reuben Evans
sam-taylor,Sam Taylor
thomas-palmer,Thomas Palmer
todd-haynes,Todd Haynes
tom-hodder,Tom Hodder
tom-khan,Tom Khan
tom-russell,Tom Russell
will-burgess,Will Burgess
will-ellis,Will Ellis
will-north,Will North
will-sturla,Will Sturla
zach-hodgson,Zach Hodgson
